County,State,Population
Chittenden County,VT,160531
Rutland County,VT,60086
Washington County,VT,58998
Windsor County,VT,56014
Franklin County,VT,48642
Windham County,VT,43714
Addison County,VT,37009
Bennington County,VT,36445
Caledonia County,VT,30981
Orange County,VT,28859
Orleans County,VT,27082
Lamoille County,VT,25082
Grand Isle County,VT,6994
Essex County,VT,6125
 Hillsborough County ,NH,405184
 Rockingham County ,NH,300621
 Merrimack County ,NH,147171
 Strafford County ,NH,125604
 Grafton County ,NH,89658
 Cheshire County ,NH,76115
 Belknap County ,NH,60305
 Carroll County ,NH,47399
 Sullivan County ,NH,43103
 Coos County ,NH,31653
